Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Erythronium_multiscapodieum,inflorescence solitary,,,,no,no,single,1,JR,,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_citrinum,inflorescence solitary,,,,no,no,single,1,JR, S. Wats,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_californicum,inflorescence solitary,,,,no,no,single,1,JR,Purdy,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_grandiflorum,inflorescence solitary,,,,no,no,single,1,JR,Pursh,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_nudopetalum,inflorescence solitary,,,,no,no,single,1,JR,Applegate,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_tuolumnense,inflorescence solitary,,,,no,no,single,1,JR,Applegate,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_pluriflorum,inflorescence solitary,,,,no,no,single,1,JR,"Shevock, Bartel & Allen","Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_mesochoreum,inflorescence solitary,,,,no,no,single,1,JR,Knerr,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_montanum,inflorescence solitary,,,,no,no,single,1,JR,S. Wats,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_elegans,inflorescence solitary,,,,no,no,single,1,JR,PC Hammond & KL Chamber,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_idahoense,inflorescence solitary,,,,no,no,single,1,JR,Applegate,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_purpurascens,inflorescence solitary,,,,no,no,single,1,JR,S. Wats,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_klamathense,inflorescence solitary,,,,no,no,single,1,JR,Applegate,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
